"Model.Technique","SplitRatio","Threshold","Training.AUC","Test.AUC","TrainingSet.Accuracy","TestSet.Accuracy","Next.Variable","Prediction.Formula"
"glm",0.8,0.5,0.676362026318812,0.661436627021422,0.628089887640449,0.613656783468104,"Q108855","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q108855"
"glm",0.999,0.5,0.673637995082169,1,0.624077739787655,1,"Q108855","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q108855"
"glm",0.6,0.5,0.684963220025152,0.652795962018344,0.6317051243632,0.610961365678347,"Q111848","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q111848"
"glm",0.8,0.5,0.67641899344959,0.661391256441001,0.62876404494382,0.613656783468104,"Q111848","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q111848"
"glm",0.999,0.5,0.673648590497721,1,0.627676804030952,1,"Q111848","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q111848"
"glm",0.6,0.5,0.685221710928577,0.652836066370678,0.630806113275397,0.608715184186882,"Q114386","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q114386"
"glm",0.8,0.5,0.676944672346755,0.661276209612081,0.633483146067416,0.613656783468104,"Q114386","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q114386"
"glm",0.999,0.5,0.673897615264472,1,0.629116429728271,1,"Q114386","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q114386"
"glm",0.6,0.5,0.684936361486369,0.652713727841333,0.632304465088403,0.606918238993711,"Q122769","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q122769"
"glm",0.8,0.5,0.676473325090329,0.660952134037658,0.626516853932584,0.61455525606469,"Q122769","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q122769"
"glm",0.999,0.5,0.673626554633475,1,0.627136944394457,1,"Q122769","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q122769"
"glm",0.6,0.5,0.685206208684717,0.653312052370613,0.6317051243632,0.608715184186882,"Q106997","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q106997"
"glm",0.8,0.5,0.676791003004662,0.662938717308877,0.627640449438202,0.606469002695418,"Q106997","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q106997"
"glm",0.999,0.5,0.674126879256207,1,0.624077739787655,1,"Q106997","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q106997"
"glm",0.6,0.5,0.685176285748895,0.652292024500113,0.633503146538807,0.608715184186882,"Q118892","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q118892"
"glm",0.8,0.5,0.676956937511923,0.660436853874323,0.629662921348315,0.610961365678347,"Q118892","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q118892"
"glm",0.999,0.5,0.673738294015893,1,0.628216663667446,1,"Q118892","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q118892"
